-6.0000,-5.0000,-5.0000,-16.6990,-16.6990
-5.7767,-5.0000,-5.0000,-16.3011,-16.2523
-5.5533,-5.0000,-5.0000,-15.7456,-15.8056
-5.3300,-5.0000,-5.0000,-15.3098,-15.3589
-5.1066,-5.0000,-5.0000,-14.8298,-14.9122
-4.8833,-5.0000,-5.0000,-14.4389,-14.4655
-4.6599,-4.9998,-4.9999,-13.9750,-14.0188
-4.4366,-4.9996,-4.9998,-13.5334,-13.5720
-4.2132,-4.9996,-4.9995,-13.1110,-13.1251
-3.9899,-4.9992,-4.9986,-12.6563,-12.6780
-3.7665,-4.9948,-4.9962,-12.2178,-12.2301
-3.5432,-4.9882,-4.9894,-11.7411,-11.7800
-3.3198,-4.9650,-4.9711,-11.2986,-11.3239
-3.0965,-4.9203,-4.9236,-10.8510,-10.8520
-2.8731,-4.8064,-4.8130,-10.3261,-10.3417
-2.6498,-4.5943,-4.6012,-9.7856,-9.7548
-2.4264,-4.2885,-4.2832,-9.0619,-9.0598
-2.2031,-3.9030,-3.8937,-8.2508,-8.2671
-1.9797,-3.4725,-3.4695,-7.4014,-7.4164
-1.7564,-3.0337,-3.0313,-6.5319,-6.5398
-1.5330,-2.5848,-2.5884,-5.6052,-5.6538
-1.3097,-2.1421,-2.1447,-4.7409,-4.7666
-1.0863,-1.7148,-1.7040,-3.8765,-3.8852
-0.8630,-1.3001,-1.2730,-3.0824,-3.0231
-0.6396,-0.8790,-0.8688,-2.2982,-2.2147
-0.4163,-0.5301,-0.5330,-1.7191,-1.5431
-0.1929,-0.3377,-0.3395,-1.4744,-1.1561
0.0304,-0.2978,-0.3015,-1.4809,-1.0801
0.2538,-0.3015,-0.3010,-1.4537,-1.0792
0.4771,-0.3030,-0.3010,-1.4465,-1.0792
